domain,url,ok,status_code,reason,content_type,content_length,title,elapsed_s,error
bestbrokerworld.com,https://bestbrokerworld.com,True,200,OK,text/html,25777,Best Broker World - Independent Financial Education,0.887,
brokerworldcheck.com,https://brokerworldcheck.com,True,200,OK,text/html,27755,brokerworldcheck - Independent Financial Education,0.636,
internationalbrokersreview.com,https://internationalbrokersreview.com,True,200,OK,text/html,24691,International Brokers Review - Independent Financial Education,0.886,
globalbrokerrank.com,https://globalbrokerrank.com,True,200,OK,text/html,15909,Global Broker Rank â Educational Finance Resources,1.039,
topbrokersglobal.com,https://topbrokersglobal.com,True,200,OK,text/html,22357,Top Brokers Global - Independent Financial Education,1.125,
nextmoveinvest.com,https://nextmoveinvest.com,True,200,OK,text/html,22226,Next Move Invest - Independent Financial Education,1.399,
futureproofinvest.com,https://futureproofinvest.com,True,200,OK,text/html,35398,Future Proof Invest - Independent Financial Education,1.063,
strategicwealthroute.com,https://strategicwealthroute.com,True,200,OK,text/html,18004,Strategic Wealth Route - Independent Financial Education,1.354,
thebrokerreview.com,https://thebrokerreview.com,True,200,OK,text/html,17769,The Broker Review - Independent Financial Education,1.23,
justtopbrokers.com,https://justtopbrokers.com,True,200,OK,text/html,22164,Just Top Brokers - Independent Financial Education,1.211,
perfectbrokermatch.com,https://perfectbrokermatch.com,True,200,OK,text/html,26356,Perfect Broker Match - Independent Financial Education,1.24,
easybrokercompare.com,https://easybrokercompare.com,True,200,OK,text/html,19660,Easy Broker Compare - Independent Financial Education,0.97,
worldbrokerguide.com,https://worldbrokerguide.com,True,200,OK,text/html,14689,World Broker Guide - Independent Financial Education,1.328,
brokersinternaational.com,https://brokersinternaational.com,True,200,OK,text/html,12952,Brokers Internaational - Independent Financial Education,1.278,
smartbrokerspick.com,https://smartbrokerspick.com,True,200,OK,text/html,15966,Smart Broker Spick - Independent Financial Education,1.214,
choosebestbrokers.com,https://choosebestbrokers.com,True,200,OK,text/html,26848,Choose Best Brokers - Independent Financial Education,1.23,
findtopbrokeers.com,https://findtopbrokeers.com,True,200,OK,text/html,20493,Find Top Brokeers - Independent Financial Education,1.293,
yourbestbrokeer.com,https://yourbestbrokeer.com,True,200,OK,text/html,20609,Your Best Brokeer - Independent Financial Education,1.228,
brokersthatwiin.com,https://brokersthatwiin.com,True,200,OK,text/html,21545,Brokers That Wiin - Independent Financial Education,1.193,
trustedbrokerreeview.com,https://trustedbrokerreeview.com,True,200,OK,text/html,22180,Trusted Broker Reeview - Independent Financial Education,1.441,
brokersreviewed.com,https://brokersreviewed.com,True,200,OK,text/html,24491,Brokers Reviewed - Independent Financial Education,1.487,
futurefundadvisoors.com,https://futurefundadvisoors.com,True,200,OK,text/html,20139,Future Fund Advisoors - Independent Financial Education,1.078,
strategicwealthway.com,https://strategicwealthway.com,True,200,OK,text/html,17856,Strategic Wealth Way - Independent Financial Education,1.45,
beyondgaains.com,https://beyondgaains.com,True,200,OK,text/html,27818,Beyond Gaains - Independent Financial Education,1.537,
pinnaacleassets.com,https://pinnaacleassets.com,True,200,OK,text/html,26387,Pinnaacle Assets - Independent Financial Education,1.593,
ascendcaapital.com,https://ascendcaapital.com,True,200,OK,text/html,23949,Ascend Caapital - Independent Financial Education,1.424,
realtopbrokers.com,https://realtopbrokers.com,True,200,OK,text/html,18895,Real Top Brokers - Independent Financial Education,1.194,
honestbrokerrank.com,https://honestbrokerrank.com,True,200,OK,text/html,25515,Honest Broker Rank - Independent Financial Education,1.241,
nextgeeninvesting.com,https://nextgeeninvesting.com,True,200,OK,text/html,18609,Next Geen Investing - Independent Financial Education,1.691,
