domain,url,ok,status_code,reason,content_type,content_length,title,elapsed_s,error
bestbrokerworld.com,https://bestbrokerworld.com,True,200,OK,text/html,26128,Best Broker World - Independent Financial Education,1.426,
brokerworldcheck.com,https://brokerworldcheck.com,True,200,OK,text/html,27755,brokerworldcheck - Independent Financial Education,1.292,
internationalbrokersreview.com,https://internationalbrokersreview.com,True,200,OK,text/html,24691,International Brokers Review - Independent Financial Education,1.452,
globalbrokerrank.com,https://globalbrokerrank.com,True,200,OK,text/html,15909,Global Broker Rank â Educational Finance Resources,1.243,
topbrokersglobal.com,https://topbrokersglobal.com,True,200,OK,text/html,22357,Top Brokers Global - Independent Financial Education,1.252,
nextmoveinvest.com,https://nextmoveinvest.com,True,200,OK,text/html,22226,Next Move Invest - Independent Financial Education,1.618,
futureproofinvest.com,https://futureproofinvest.com,True,200,OK,text/html,35398,Future Proof Invest - Independent Financial Education,1.407,
strategicwealthroute.com,https://strategicwealthroute.com,True,200,OK,text/html,18004,Strategic Wealth Route - Independent Financial Education,1.43,
thebrokerreview.com,https://thebrokerreview.com,True,200,OK,text/html,17769,The Broker Review - Independent Financial Education,1.232,
justtopbrokers.com,https://justtopbrokers.com,True,200,OK,text/html,22164,Just Top Brokers - Independent Financial Education,1.598,
perfectbrokermatch.com,https://perfectbrokermatch.com,True,200,OK,text/html,26356,Perfect Broker Match - Independent Financial Education,1.644,
easybrokercompare.com,https://easybrokercompare.com,True,200,OK,text/html,19660,Easy Broker Compare - Independent Financial Education,1.168,
worldbrokerguide.com,https://worldbrokerguide.com,True,200,OK,text/html,14689,World Broker Guide - Independent Financial Education,1.489,
brokersinternaational.com,https://brokersinternaational.com,True,200,OK,text/html,12952,Brokers Internaational - Independent Financial Education,1.627,
smartbrokerspick.com,https://smartbrokerspick.com,True,200,OK,text/html,15966,Smart Broker Spick - Independent Financial Education,1.544,
choosebestbrokers.com,https://choosebestbrokers.com,True,200,OK,text/html,26848,Choose Best Brokers - Independent Financial Education,1.308,
findtopbrokeers.com,https://findtopbrokeers.com,True,200,OK,text/html,20493,Find Top Brokeers - Independent Financial Education,1.311,
yourbestbrokeer.com,https://yourbestbrokeer.com,True,200,OK,text/html,20609,Your Best Brokeer - Independent Financial Education,1.569,
brokersthatwiin.com,https://brokersthatwiin.com,True,200,OK,text/html,21545,Brokers That Wiin - Independent Financial Education,1.63,
trustedbrokerreeview.com,https://trustedbrokerreeview.com,True,200,OK,text/html,22180,Trusted Broker Reeview - Independent Financial Education,1.633,
brokersreviewed.com,https://brokersreviewed.com,True,200,OK,text/html,24491,Brokers Reviewed - Independent Financial Education,1.872,
futurefundadvisoors.com,https://futurefundadvisoors.com,True,200,OK,text/html,20139,Future Fund Advisoors - Independent Financial Education,1.947,
strategicwealthway.com,https://strategicwealthway.com,True,200,OK,text/html,17856,Strategic Wealth Way - Independent Financial Education,1.939,
beyondgaains.com,https://beyondgaains.com,True,200,OK,text/html,27818,Beyond Gaains - Independent Financial Education,1.431,
pinnaacleassets.com,https://pinnaacleassets.com,True,200,OK,text/html,26387,Pinnaacle Assets - Independent Financial Education,2.041,
ascendcaapital.com,https://ascendcaapital.com,True,200,OK,text/html,23949,Ascend Caapital - Independent Financial Education,1.942,
realtopbrokers.com,https://realtopbrokers.com,True,200,OK,text/html,18895,Real Top Brokers - Independent Financial Education,1.195,
honestbrokerrank.com,https://honestbrokerrank.com,True,200,OK,text/html,25515,Honest Broker Rank - Independent Financial Education,1.155,
nextgeeninvesting.com,https://nextgeeninvesting.com,True,200,OK,text/html,18609,Next Geen Investing - Independent Financial Education,1.739,
